"","order_id","products"
"58",56157,"c(27966, 5994, 49031, 21137, 11712, 28733, 34305, 40310, 22275, 3876, 3990, 28204, 13895, 23644, 33845, 46656, 13225, 42356, 26604)"
"59",56309,"c(34993, 17758, 33198, 25630, 32648, 21137, 27966, 31215, 40198, 19443)"
"60",57058,"c(17966, 8859, 20762, 14358, 1618, 16198, 25985, 32650)"
"61",57499,"c(21295, 13280, 47672, 33953, 33731, 27104, 26620)"
"62",60213,"c(36764, 1203, 47209, 21903, 46802, 24082, 24489, 17948, 46650, 36397, 11422, 30630, 42239, 36441, 29616, 4932, 28946, 42404, 25821)"
"63",63367,"c(13176, 5785, 49683, 16759, 41220, 10814, 13640, 16274, 38720)"
"64",63471,"c(31985, 21903, 16797, 30450)"
"65",64750,"c(17794, 9853, 44799, 4605)"
"66",65432,"c(17330, 27407, 35419, 196, 44635, 26878, 25783, 41290, 33198, 23020, 36086, 3800, 25952)"
"67",65824,"c(14715, 19972)"
"68",65970,"c(28476, 45603, 40634, 10768, 26131)"
"69",67364,"c(21288, 19691, 9387, 16797, 12341, 17122, 40969)"
"70",68007,"c(32611, 15008, 16241, 15400, 13176, 20993, 14947, 15532, 6833, 49517)"
"71",68252,"27323"
"72",68980,"c(23516, 25122, 11520, 27231, 13176, 38558, 29447, 48123, 28523, 37197, 40706, 4656, 6638, 31551, 3896)"
"73",69452,"c(7948, 48364)"
"74",70523,"c(26165, 11913)"
"75",70603,"c(24184, 19677, 47766, 24852, 23919, 46913, 18727, 32689, 21616, 29487, 26209, 4605, 44142, 12036, 8277, 31040, 21295, 39040)"
"76",71252,"c(34466, 28123, 46990, 5640, 5876, 11512, 13702, 13176, 34466, 28123, 46990, 5876, 47209, 20632, 6187, 1104, 13176, 5212, 19049, 26940, 35163, 20850)"
"77",71423,"c(45007, 47626, 12891, 32655, 34137, 43086, 25623, 46226, 581)"
"78",71462,"c(196, 12427, 38928, 16732)"
"79",71622,"c(26346, 9839, 24852, 27156, 26369, 21903, 22035, 12614, 40706, 13740, 21137, 43908, 31927, 49, 9595, 27900, 28204, 31040)"
"80",75375,"c(7812, 17223, 43409, 27687, 44799, 18871, 4210, 28733, 9076, 40214, 1158)"
"81",77183,"c(36639, 44413, 15391, 7163, 32502, 4635, 48364, 28601, 13802, 29867, 1160, 2903, 28553, 21077, 31846, 12322)"
"82",78025,"c(35412, 5374, 35412, 7806, 34862)"
"83",79185,"c(4799, 35004, 30668, 30683, 26384, 28985, 24852, 18535)"
"84",79340,"c(36370, 28849, 21903, 22035, 24925, 42244, 21543, 29142, 24009, 19057, 21137)"
"85",79869,"c(13176, 36696, 24489, 48679, 18234, 49383, 8021, 690, 4698, 5212, 27292, 8424)"
"86",80322,"c(24852, 39993, 25824, 8555, 432, 21137, 47209, 40199, 31441)"
"87",80620,"c(4462, 48679, 22395)"
"88",81780,"c(5077, 42356, 40910, 29926, 2966, 24852, 36698, 20794, 30776, 17706, 27086, 9018, 40199, 33754, 18523)"
"89",84768,"c(21265, 27979, 48119, 38094, 45190, 4447)"
"90",84814,"c(18389, 4987, 40741, 8929, 9463, 38683, 16902, 274)"
"91",87353,"c(7559, 2581, 43122, 1846, 23516, 38274, 37642, 8518)"
"92",87588,"c(21137, 13176, 27845, 38689, 17461, 49235, 16168, 38453, 42244, 49683, 39693, 10889, 11440, 39558, 38159, 39275, 45633, 24654, 25718, 27392)"
"93",88331,"c(47626, 11520, 17122, 28204, 49217, 36114, 4086, 42625, 49281, 4724, 4476, 11422, 39877, 5825, 18168, 24204, 40388, 42736, 39800)"
"94",89584,"c(28358, 3583, 2855, 47209, 27104, 40377, 11597, 35951, 48364, 1359, 9788, 21195, 26604, 30459, 18963, 14477)"
"95",90261,"c(6473, 22124, 14917, 6475, 31964, 38456, 13449, 45630, 28311, 1443, 15707, 43764, 16083, 38772, 21903)"
"96",90958,"c(21903, 34243, 16797, 23543, 3957, 48104, 25659, 22395, 23400, 42768, 22959)"
"97",91850,"c(40338, 27966, 5819, 13176, 11826, 35252, 23687, 9963, 15526, 11461, 5097, 4591, 17224)"
"98",93374,"c(31717, 45200, 34, 17526, 7948, 39411, 6193, 21022, 39661, 14872, 31330, 1979, 18531)"
"99",95805,"c(11669, 26668, 23165, 44359, 16759, 5769, 5876, 33731, 6046, 15261, 43987)"
"100",96712,"c(5876, 49476, 9598, 18224, 36082, 8174, 12456, 15700, 18413, 19240, 29117, 43295, 47253, 5677, 33527)"
"101",97011,"c(44142, 5769, 1890)"
"102",100298,"c(44632, 25043, 40458, 45007, 30592, 21949, 22825, 32523, 15764, 24852)"
"103",100440,"c(457, 4047)"
"104",100526,"c(47817, 32156, 10613, 4210, 35601)"
"105",100867,"c(4938, 25286, 4557, 49235, 48142, 26348, 21572, 30591)"
"106",103310,"c(30696, 35181, 24852, 40997, 42948, 41844, 23909, 32211, 15613, 44487, 38874, 31423, 6656, 32655, 47766, 45200)"
"107",103833,"c(48135, 48722, 14209)"
"108",103925,"c(13603, 2581, 3599, 11502, 1039, 8021)"
"109",104404,"c(14371, 32505, 27845, 48205, 24852, 27104, 46667, 23236)"
"110",105449,"c(13176, 3146, 5385, 24186, 23801, 9076)"
"111",105524,"c(22935, 37197, 27966, 39877, 13176, 24489, 30489, 31040, 2295, 47526, 47209, 20608, 34262, 32347)"
"112",108251,"c(48183, 32455, 45234, 29299, 9411, 43867, 35235, 24852)"
"113",108483,"c(39462, 31506, 13636, 23495, 35362, 14849, 47626, 18656, 49098, 28632, 34756)"
"114",109451,"c(18677, 47209, 2091, 5373, 28924, 7646, 39922, 28985, 13176, 8277, 22825, 34590)"
"115",109687,"c(27845, 42736, 7911, 6891, 34745, 8574, 32743, 3951, 39977, 44731, 34061, 29156, 2657, 47719)"
"116",109901,"c(35939, 6046, 27104, 26604)"
"117",110417,"c(31836, 27760)"
"118",110631,"c(18023, 26348)"
"119",112860,"c(1463, 13176, 21137, 27086, 6656, 43713, 23622, 22963)"
"120",114875,"c(19348, 6396, 24852, 43772, 37413, 48681, 15325, 347, 4097, 22169, 44580, 32303, 23339, 23039, 47766, 21616)"
"121",115080,"c(6873, 34429, 38558, 24852, 5876, 365, 41844, 27845, 12756, 32655, 49683)"
"122",115489,"c(6615, 12341, 22218, 8048, 46400, 8571, 42282, 19691)"
"123",116675,"c(33787, 34969, 11845, 17949, 20842, 21137, 47626, 39275, 26751, 17794)"
"124",117066,"c(46149, 196, 42500)"
"125",120387,"c(16797, 33508, 38739, 10957, 17616, 21567, 13249, 16005, 41844, 6340, 48717, 3590, 40459, 17200, 29615, 4347, 28632)"
"126",120648,"c(29346, 32433, 13640, 28156, 9808, 21410, 18880, 1202, 39275, 47626, 24135, 21938, 24184, 19005, 45938, 6155)"
"127",121192,"c(43086, 25623, 13292, 49318)"
"128",122269,"c(23240, 24852, 44799, 39604, 46541, 40733, 46172, 47842, 19953, 4895, 33852, 15483, 4674, 5636, 29487, 5450, 41245, 48946, 23259, 46041, 23333, 45994, 19750, 14886, 29993, 45188, 20674)"
"129",127168,"19660"
"130",128034,"c(13176, 41950, 21938, 5818, 19068, 22297, 6567)"
"131",128037,"c(4210, 24852, 25562, 24053, 30197, 5422, 40028)"
"132",129340,"c(24852, 17316, 38400, 48845, 48283, 20842, 32691)"
"133",131270,"49683"
"134",132474,"c(26612, 12496, 16797)"
"135",132478,"c(7821, 32465, 32689, 3529, 31981, 25783, 10333)"
"136",133189,"c(13176, 42828, 30639, 33000, 47766, 22035, 19057, 5077, 3599, 22935, 9808, 40706, 2825, 42265, 21903, 24489, 2326, 46812, 26940, 35535, 21137)"
"137",133489,"c(36524, 47570, 48988)"
"138",134674,"c(18465, 27744, 42342, 32689, 35857, 9337, 42736, 13176)"
"139",135146,"c(34262, 43295)"
"140",136376,"c(27695, 21903, 18963, 38293, 16823, 22935, 33575, 4781, 2326, 48287, 8518, 6317, 5065, 17600, 6508, 32254, 15842, 37182, 46667, 22007)"
"141",136818,"39657"
"142",137226,"c(26505, 16696, 40348, 17008)"
"143",138325,"c(6111, 1234, 37646, 42701, 12341, 2664, 25821, 39200, 48775, 27117, 48946, 920, 18254, 17025, 34134, 18079, 10749)"
"144",138627,"c(27325, 14727, 5844, 6475, 19282, 38889, 9387, 48409)"
"145",140812,"c(47209, 26209, 8518, 35939, 34969, 34358, 31717, 47719, 5514, 27966, 37646, 22113, 44632, 432, 16797, 31683, 39275, 20995)"
"146",140942,"c(24899, 37687, 48819, 36180, 34449, 29744, 28407, 49235, 32303, 12015, 49176, 10673, 2627, 27653)"
"147",141033,"c(47672, 9515, 38127)"
"148",141543,"c(9175, 26767, 45154, 42450, 36107, 45154, 36107, 9175, 44585, 1940)"
"149",142726,"c(25804, 30597, 45531, 11361)"
"150",143194,"c(31372, 40031, 31717, 26209, 47766, 23734, 8138, 24852, 27845)"
"151",143417,"c(49235, 3849, 3771, 31945, 28420, 4920, 27966, 46853, 45613, 9290)"
"152",144207,"c(5161, 43080, 44979, 29926, 34844, 21614, 37492, 32402, 45535, 39619, 37971, 20842, 10655, 7861, 17747, 40706, 15290)"
"153",144404,"c(28985, 47766, 43764, 3479, 48335)"
"154",144926,"c(29662, 41588, 26604, 13791, 28785, 48679)"
"155",145029,"c(1408, 39844, 46522, 42460, 25569, 5077, 42450, 44042, 5711, 30353, 30287, 1122, 46779, 36670, 19209, 1006, 354)"
"156",145966,"c(24852, 47209, 4658, 47682, 42265, 21137, 33787, 49086, 45578, 18389, 14647, 49520, 17658, 28999, 27817)"
"157",145978,"c(1204, 29299, 42913, 44177, 13544, 26861, 9829, 34766, 148, 38157, 30057, 42667, 36956, 45258, 38000, 13370, 38090, 35845, 41787)"
"158",146700,"c(47141, 17600, 24852, 46175, 9510, 13654, 47884)"
"159",148179,"c(35507, 11361)"
"160",148556,"c(27845, 16185, 42736, 8193, 10108)"
"161",149029,"c(49079, 13521, 33624, 25847, 4985, 28824, 959, 24425, 12524, 7786, 6300, 31505, 15412, 30661, 38228, 25715, 12879, 24660)"
"162",149373,"c(9690, 41658, 22935, 27845, 47553, 49533, 7021, 41909)"
"163",149492,"c(39947, 6182, 28613, 35429, 30884, 39411, 43295, 4472, 13176, 11140, 44632, 39947, 5212, 6182, 29671, 11187, 28613, 35429, 43295, 4472)"
"164",150433,"c(6615, 33000, 32303, 17419, 43352, 16797)"
"165",150712,"c(21709, 26620, 37646, 13176, 25466, 17905, 22504, 31730, 42397, 14627, 35221, 1695)"
"166",150807,"c(5212, 13176, 28199, 21903)"
"167",151083,"c(2855, 9018, 5322, 9934, 16848, 41665, 42736, 26282, 26634, 2838, 46979)"
"168",151975,"c(36425, 45190)"
"169",153199,"c(48071, 28490, 33087, 31981)"
"170",153473,"c(8571, 33768, 16797, 12899, 32689, 11365, 33147, 32691, 21573, 33768, 8571, 26900, 43352, 12899, 39275)"
"171",153911,"c(20598, 43400, 35140, 38847)"
"172",154107,"c(13176, 21137, 27966, 35065, 25332, 14084)"
"173",154377,"c(14924, 33135)"
"174",158009,"c(2132, 25195, 22922, 24852, 33724, 5322, 24852, 32864, 26369, 28199, 6380, 32431)"
"175",158246,"c(26283, 11182, 13984, 21137, 13176, 29447)"
"176",158608,"c(19660, 26911, 31717, 47209, 29045, 20995, 27705, 6228, 47005, 22346, 19660, 47209, 26369, 26911, 20995)"
"177",158755,"c(33385, 1240, 48957, 28601, 16973, 33407, 14332, 32299, 41220)"
"178",160872,"c(22307, 14814, 48140, 15290, 47626, 21137, 42356, 20042, 16589, 12667, 4799, 39561, 24841, 30450, 45535, 37317, 27156, 33290, 47766, 49235)"
"179",161324,"c(38662, 24954)"
"180",162278,"c(8587, 25706, 45680, 24852, 47282, 43735, 49683, 27237, 42460, 14280, 23734, 11679, 26589, 28125, 4920, 6679, 9295, 30183)"
"181",162361,"c(7274, 23909, 41276, 33072, 41844, 7828)"
"182",162746,"c(13176, 19057, 27966, 48679, 21137, 21280, 44628, 31575)"
"183",163663,"c(24852, 27845, 21137, 42585, 5077, 28278, 43961, 18242, 29987, 23339, 42342)"
"184",164787,"c(46361, 45924, 44522, 935, 196, 16768, 2745, 45924, 1217, 45064, 24097, 1834, 196, 31725)"
"185",166866,"c(24799, 24852, 22825, 47209, 36397, 13640, 45106, 43768, 35708, 16882, 18465, 30257, 28946, 27695, 21137, 30496, 24129, 30391)"
"186",168572,"c(7156, 28985, 890, 16797, 8230, 24852, 4605, 34243, 25931, 43735, 12927, 5025, 24184, 31717)"
"187",168760,"c(24838, 21137, 14764, 38739, 18234, 47626, 27999, 34466, 24852)"
"188",171351,"c(31066, 21376, 46992)"
"189",171585,"c(13870, 20995)"
"190",173571,"c(27216, 31979, 45066, 22825, 25931, 10305, 28204, 26209, 35108, 30489, 7559, 33489, 44765)"
"191",173957,"c(44683, 45570, 39275, 18027, 46979, 13176, 32139, 29862)"
"192",174285,"c(42579, 329, 40396, 27966)"
"193",174959,"c(37646, 27104, 44393, 47766, 39993, 24964, 29926, 42756, 18531, 47626, 21903, 13176, 49683, 1025)"
"194",176110,"c(47284, 33095, 32644)"
"195",176341,"c(24024, 39468, 15290, 39643, 22935, 21938, 21137, 47209)"
"196",176412,"c(30489, 35992, 48086, 31040, 24536, 8174)"
"197",176763,"c(45394, 26372, 3442, 15516, 25144, 37215, 32156, 47141, 39921, 1940, 27796, 44987, 26314, 11348, 47325, 19736, 46107, 23020)"
"198",176786,"c(35221, 44632)"
"199",178720,"30777"
"200",180545,"c(12857, 39069, 31487, 6530, 22174, 16489, 35923, 39760)"
"201",180620,"c(27344, 48679, 28849, 27104, 4605)"
"202",183109,"c(28745, 32689, 16575, 1202, 16384, 5450, 25588, 24048, 2371, 41301, 27086, 37158, 47672, 40706, 14881, 31433, 23139, 39349, 40009, 23646)"
"203",184496,"c(1559, 24852, 21709, 24041, 37646, 8277, 33100, 47087, 14947, 36011, 32655)"
"204",185676,"c(34155, 38817, 49226)"
"205",186106,"c(13176, 21903, 42633, 46900, 31555, 34124, 19612, 46082, 19248, 42110, 38622, 30953, 1175, 3376, 27156, 42768, 30391, 48171)"
"206",186266,"c(9532, 25108, 19575, 32568, 46827)"
"207",187463,"c(39275, 5438, 32211, 7969, 47626, 32652, 44142, 25544, 5315, 45886, 31196, 27229, 38342, 14992, 39812, 18653, 28156, 29553, 46785, 37065)"
"208",187600,"c(24852, 4605, 13829, 42768, 21116, 781, 28928, 45066, 4920, 7781, 27044, 16797, 46990)"
"209",187768,"c(2716, 45210, 48726, 48946, 44632, 21709, 37276, 44165, 12033, 31126, 43165, 28353, 22164, 25948, 31886, 38164, 3398, 33716, 35708)"
"210",188865,"c(14514, 10497, 10070, 21137, 32271)"
"211",190547,"c(21467, 5296, 5025, 13858, 32738, 41805, 7781, 17807, 24852, 5103, 12871, 6383, 18352, 33343, 21096, 39360, 11826, 47117)"
"212",190741,"c(37646, 47209, 43295, 47626, 14870, 23854, 48057, 44765, 21267, 13176)"
"213",191215,"c(5322, 15484, 10070, 35360, 4306, 22598, 11073, 9755)"
"214",191499,"c(27020, 4210, 23909, 9076, 5450, 35752, 49176, 23909, 4210, 37766, 16953, 34712, 43012, 581, 15664, 27407)"
"215",191599,"c(13249, 43693)"
"216",192016,"c(23291, 16589, 33929, 22124, 13351, 40571, 32429, 8277, 43122)"
"217",192201,"c(5258, 48620, 5876, 2846, 28278, 29277, 47601, 30599, 24964, 40706, 29328, 27363, 4210, 31553, 37646, 7120, 14704, 38159, 37288, 21506)"
"218",192732,"c(8506, 40516, 21936, 12118, 29487, 5077, 11712, 3169, 4793)"
"219",192793,"c(18479, 15040, 42736, 41610, 33731, 1529, 32197, 39558, 47626, 39812, 45066, 11520, 4039, 49683, 22935)"
"220",193124,"c(3999, 15424, 22882, 35234, 27548, 36598, 32727, 3880, 24852, 32710, 30072, 45007, 32833, 20919, 35921, 23322, 8266, 32446)"
"221",193751,"c(38635, 18260, 36735, 7512, 13225, 16920, 19348, 22963, 4947, 13176, 35956)"
"222",193823,"c(9358, 13176, 43154, 46149, 38928, 130)"
"223",194222,"c(45007, 24852, 47766)"
"224",194333,"c(13176, 10132, 1096, 23282, 10685)"
"225",195987,"c(20734, 17872, 5077, 14778, 48666, 36746, 47626, 42736, 4799, 18656, 24263)"
"226",196806,"c(48097, 33439, 5128, 43049)"
"227",197049,"c(47144, 45840, 8087, 5025, 18531, 45535, 38400, 17568, 44787, 28842, 21137, 41065, 3864, 47626, 5212, 27845, 44422, 43421, 43875)"
"228",198479,"c(47766, 9741)"
"229",198793,"c(24413, 29689, 26790, 5748, 40574, 39561, 2026, 20955, 4451)"
"230",199735,"c(5750, 47866, 43104, 25146, 28204, 32655, 25890, 37767, 8424, 25886)"
"231",201559,"c(16797, 43352, 21903, 4149, 4557, 17902, 27984, 42506)"
"232",202806,"c(6774, 14240, 23250, 34622)"
"233",203425,"c(5716, 40969, 2433, 28413, 30764, 9076, 43352, 9213, 38928, 16797)"
"234",203668,"c(45190, 21338, 31154, 11345, 36616, 21473, 1682, 13303, 1160, 41539)"
"235",204453,"c(26348, 26900)"
"236",204704,"c(24850, 44098, 45788, 42265, 7963, 28204, 45447, 19054)"
"237",205283,"c(27845, 16840, 9036, 44359, 21938, 11422, 37646, 22035, 43768, 33000, 3057, 1841, 30391, 11777, 39485, 5077, 48222)"
"238",205730,"c(17435, 21616, 47626, 4799, 46720, 13082, 11712, 47672, 4210, 11068, 40310, 21267, 5450, 24964, 27104, 26313, 10915, 21903, 22935)"
"239",206077,"c(29600, 780, 21174, 34243, 2086, 4657, 15934, 35561, 11520, 11945, 22035, 19370, 1757, 44471, 21095, 35689, 6971, 24838, 21903)"
"240",206218,"c(33065, 837, 11874)"
"241",206931,"c(26914, 39108, 12341, 32478)"
"242",207786,"c(21927, 33754, 47209, 23288, 4392)"
"243",209098,"c(34969, 15290, 4605, 20114, 16291, 5161)"
"244",209218,"c(43772, 4675, 25931, 29553, 47766, 38293, 24852)"
"245",209841,"c(15567, 29926, 27156, 8670)"
"246",210734,"3457"
"247",211643,"c(45123, 4317, 8149, 16575, 13516, 11984, 12782, 18987, 38940, 22699, 1700, 47903)"
"248",212038,"c(12276, 32854, 16874, 9065, 19894, 16185, 40706, 11777, 34213, 26384, 39194, 9076, 38456, 25659, 2763, 28985, 26209, 48775)"
"249",212598,"c(33754, 11140, 47209, 44142, 25890, 45535, 41665, 39134, 45162, 32402, 27278)"
"250",213771,"c(33731, 7963)"
"251",214437,"c(14520, 29881, 11492, 16696, 10957, 15424, 24186, 34160, 18418, 8377)"
"252",214494,"c(25146, 41165, 24852, 895, 38689, 16797, 34969)"
"253",215495,"c(21137, 27966, 13176, 37646, 27104, 21938, 18434)"
"254",216609,"c(1919, 21462, 4862, 18441, 9327, 36714, 23457, 9515)"
"255",217403,"c(7521, 46021, 44632, 44624, 17191, 20738, 49509, 27086, 33991, 31717, 36697, 21462, 2544, 44090, 17368, 3405, 40614)"
"256",218413,"c(39097, 28367, 19348, 12614, 43662, 13263, 28465, 3042, 31378, 10603, 24830, 32030, 20114, 43014, 25890, 39993, 21903)"
"257",219350,"c(17905, 42585, 5212)"
"258",219589,"c(11520, 40516, 47766, 8518, 24964, 21938, 45007, 47626, 33198, 8414, 49517, 1194, 34969, 26751, 913, 12564, 29987, 38266, 34243)"
"259",221365,"c(15424, 45414, 26088, 28156, 24852, 43352, 25346, 24716, 1940, 26604, 47626, 35134, 24427, 36640, 41148, 8843, 49683, 22620, 48205, 35003)"
"260",221871,"c(3835, 30233, 5450, 7628, 9186, 41149, 14781, 21903, 29127, 47552, 34584, 17948, 46802, 2228, 31506, 43517, 7976, 47717, 26629)"
"261",223198,"c(23909, 42736, 33178, 46402, 29284, 29487, 33945, 48144, 48907, 22128, 6369, 41984)"
"262",223405,"41400"
"263",223680,"c(46676, 39877, 24852, 17461, 47780, 33120)"
"264",223816,"c(35561, 35451, 43933, 17206, 8518, 11576, 45007, 49267, 861)"
"265",226130,"13944"
"266",226631,"c(49248, 47626, 29307, 32537, 21405, 4920, 22035, 18027, 27521, 46979)"
"267",227409,"c(33647, 30489, 8424, 33572, 16185, 24964, 16293, 29370, 8076)"
"268",228105,"c(742, 14992, 17461)"
"269",228836,"c(7054, 34969, 12341, 17429, 24852, 28204, 21903, 40604, 17794, 33407, 49683, 31717, 5380, 45007, 30305, 4605, 42625, 28123, 42585)"
"270",229591,"c(34128, 36082, 21386, 22935, 35951, 16759, 20632, 27966, 34584, 21405, 13852, 29669, 41757, 21137, 38159)"
"271",230959,"c(49217, 40597, 36051, 42117, 35669, 588, 10479, 46023, 20156)"
"272",232373,"c(30004, 32566, 47611)"
"273",233182,"7916"
"274",233939,"c(95, 12157, 47008, 46667, 32467, 21137)"
"275",234076,"c(22802, 9020, 22362, 7987, 38768, 39399, 13820)"
"276",234809,"c(13176, 39619, 47209, 21903, 4410, 20995, 13457, 40229, 22260)"
"277",234905,"c(34012, 1940, 18211, 8143, 28031, 49397, 40067, 10912, 21240, 42927, 23596, 15937, 30021, 2015, 40348, 18077, 23596, 37932, 23909)"
"278",235837,"c(5514, 40709, 47154, 5732, 35221, 3274, 24561, 8277, 19678, 26717, 35939, 4564, 26407, 7021, 21334, 34055, 18288)"
"279",235891,"c(15392, 14462, 20995, 9839, 27156, 18963, 37904, 21405, 24964, 27104, 46979)"
"280",236029,"c(13176, 16617, 18811)"
"281",236746,"c(34027, 32156, 3999, 12149, 16185, 24852, 1649, 40310, 42308)"
"282",237187,"c(20995, 37825, 22298, 33731, 25804, 4562, 27596, 7781, 38984, 23879, 22825, 16185, 6187, 2086, 27845, 22035, 45066, 28156, 43961, 21387)"
"283",237829,"c(1940, 6184)"
"284",239210,"c(36011, 5077)"
"285",240024,"c(47977, 49520, 45190, 31377)"
"286",240131,"c(25890, 11520, 3952)"
"287",242140,"c(44632, 38456, 25146, 30884, 17570, 18105, 6846, 19125, 17535, 46257, 38941, 29256, 19129, 33198, 28985, 42731, 37892, 34969)"
"288",242309,"c(49111, 23233, 23029, 22035, 26649, 21526, 37496, 36342, 8320, 45603, 4698, 48099, 21150, 47792, 31257, 35986)"
"289",243769,"29447"
